Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
Vinaya Royal Inn,"₹ 1,081",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 837 Off,4.0, (Very Good),238.0,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
Hilton Bangalore Embassy GolfLinks,"₹ 4,725",Domlur Layout,,4.3, (Very Good),548.0,63%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,9-8-2021,11-8-2021
Nandhana Grand,"₹ 1,433",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 891 Off,4.4, (Very Good),964.0,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
"Taj Yeshwantpur, Bengaluru","₹ 5,400",Tumkur road,HDFC Credit Card Offer. Get INR 1620 Off & INR 500 TAJ Gift Card,4.5, (Excellent),266.0,36%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9-8-2021,11-8-2021
Hyatt Centric MG Road Bangalore,"₹ 3,295",Ulsoor,Get  INR 593 Cashback to Card,4.4, (Very Good),233.0,,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9-8-2021,11-8-2021
Iris Hotel & Spa Bangalore,"₹ 2,111",Residency Road | 5.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1063 Off,3.7, (Good),591.0,20%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Breeze Suites,"₹ 1,772",Chikkajala | 24.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 860 Off,4.6, (Excellent),1284.0,,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
The Porch Inn Hotel/Service Apartments,"₹ 1,070",Hombegowda Nagar | 940 m from Nimhans Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 634 Off,4.6, (Excellent),514.0,20%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,9-8-2021,11-8-2021
"ITC Gardenia, A Luxury Collection Hotel","₹ 5,460",Ashok Nagar | 3.8 km from Kempegowda Bus Station,Get  INR 546 Cashback to Card,4.1, (Very Good),748.0,25%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9-8-2021,11-8-2021
"The Royale Senate, Hebbal","₹ 2,385",Hebbal | 4.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 1482 Off,3.9, (Good),686.0,18%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
