Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
Neelam Inn,₹ 343,Bani Park | 4.3 km from Rambagh Golf Club,,3.4, (Good),459.0,28%,"['Vehicle Rentals', 'Air Conditioning', 'Room Service']",Jaipur,9-8-2021,11-8-2021
Buena Vista Luxury Garden Spa Resort,"₹ 13,160",Chokdi Gangapol,Exclusive Offer - HDFC Credit Card Users. Get INR 3359 Off,3.6, (Good),87.0,14%,"['Free Parking', 'Free Wi-Fi', 'Butler Services']",Jaipur,9-8-2021,11-8-2021
Park Ocean,"₹ 3,290",Sikar road,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.1, (Good),215.0,14%,"['Lounge', 'Butler Services', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Hotel Grand Safari,"₹ 1,433",Gopalpura | 8.3 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 891 Off,4.4, (Very Good),46.0,6%,"['Business Centre', 'Conference Room', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Hotel Aangan,"₹ 1,109",Sindhi Camp | 66 m from Polo Victory Private Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 689 Off,3.6, (Good),228.0,6%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
Rajputana Haveli,₹ 822,Govind Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,4.4, (Very Good),121.0,36%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Resolute,"₹ 1,252",Tonk road | 5.9 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 640 Off,3.7, (Good),156.0,81%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Jaipur,9-8-2021,11-8-2021
Hotel Safari,"₹ 1,354",Gopalpura | 450 m from Narayan Niwas Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 841 Off,3.8, (Good),91.0,74%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
66 Residency-A Boutique Hotel,"₹ 1,638",Civil Lines | 800 m from Chomu House Circle Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 1115 Off,3.5, (Good),149.0,50%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
OYO Flagship 15357 Ahinsha Cicle,"₹ 1,180",C Scheme | 3.3 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,2.9,,88.0,36%,"['Conference Room', 'Kitchenette', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Hotel Indo Prime,"₹ 1,241",MI Road | 770 m from Lnmiit Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 602 Off,3.5, (Good),290.0,52%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
OYO Townhouse 036 C Scheme Ahinsa Circle,"₹ 1,308",C Scheme | 3.3 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 323 Off,3.3, (Good),110.0,51%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Aqua,₹ 809,Vaishali Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 281 Off,4.2, (Very Good),222.0,41%,"['Lounge', 'Tours and Treks', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Hotel Grand Anshul,"₹ 2,169",Malviya Nagar | 370 m from Sector 15 Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 1681 Off,3.3, (Good),227.0,51%,"['Conference Room', 'ATM', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Hotel Om Palace,₹ 312,Bani Park | 4.5 km from Rambagh Golf Club,,3.6, (Good),19.0,19%,"['Free Parking', 'Free Wi-Fi', '24-hour Room Service']",Jaipur,9-8-2021,11-8-2021
Hotel Sapphire World-Mansarovar,"₹ 1,319",SBBJ Officers COlony | 10.3 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 640 Off,4.0, (Very Good),84.0,25%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
SHYAM PARADISE BY TRICOLOUR.,"₹ 2,430",Vidhyut Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1180 Off,3.3, (Good),67.0,20%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
OYO 6327 Hotel Hill View,"₹ 1,180",Malviya Nagar | 5.2 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.2, (Good),84.0,48%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
OYO Flagship 22531 C Scheme Ashok Nagar,₹ 984,C Scheme | 780 m from Raj Mandir Cinema,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,2.9,,151.0,32%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Classic Inn,₹ 301,Bani Park | 4.3 km from Rambagh Golf Club,,3.4, (Good),42.0,51%,"['Yoga', 'Tours and Treks', 'Indoor Games']",Jaipur,9-8-2021,11-8-2021
Hotel Bharat Palace,₹ 293,Bani Park | 4.5 km from Rambagh Golf Club,,4.1, (Very Good),69.0,51%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Backpackers Villa Jaipur,₹ 186,Pink City | 870 m from Raj Mandir Cinema,,3.6, (Good),174.0,25%,"['Luggage Storage', 'Free Wi-Fi', 'Housekeeping']",Jaipur,9-8-2021,11-8-2021
Jaipur Hotel New- A Heritage Hotel,₹ 809,Biseswarji | 970 m from Lnmiit Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 688 Off,3.1, (Good),107.0,25%,"['Free Parking', 'Bar', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Jaipur CM - A Luxury Boutique Hotel,"₹ 1,770",Bani Park | 480 m from Shastri Nagar Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 644 Off,4.4, (Very Good),59.0,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Click Hotel,"₹ 1,767",Raja Park | 970 m from Mps Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 643 Off,4.3, (Very Good),92.0,60%,"['Butler Services', 'Free Parking', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Hotel Gitanjali,₹ 943,Tonk road | 9.2 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 387 Off,3.8, (Good),362.0,45%,"['Lounge', 'Butler Services', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
HOTEL GRAND LOTUS INN,"₹ 1,114",Karolan Ka Barh | 9.7 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1097 Off,4.3, (Very Good),10.0,11%,"['Lounge', 'Butler Services', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
"Hotel Highway King,Bagru","₹ 1,299",Brijlalpura,Exclusive Offer - HDFC Credit Card Users. Get INR 630 Off,3.6, (Good),75.0,21%,"['Lounge', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
OYO 24714 Leela's Guest House,₹ 814,Mansarovar,Exclusive Offer - HDFC Credit Card Users. Get INR 201 Off,3.9, (Good),19.0,38%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Shiv Vilas Resorts,"₹ 10,649",Kukas,,4.0, (Very Good),111.0,16%,"['Yoga', 'Lounge', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
Rajasthali Resort and Spa,"₹ 5,583",Kukas | 25.0 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 2034 Off,4.0, (Very Good),14.0,51%,"['Free Parking', 'Free Wi-Fi', 'Outdoor Sports']",Jaipur,9-8-2021,11-8-2021
Hotel Triveni Residency,₹ 968,Lalkothi | 990 m from Inferno Dreamz,Exclusive Offer - HDFC Credit Card Users. Get INR 375 Off,3.5, (Good),104.0,25%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
The Wall Street- A Business Hotel,"₹ 1,945",Pink City | 760 m from Lnmiit Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 944 Off,3.7, (Good),155.0,24%,"['Conference Room', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Jinendra Palace,₹ 846,Bani Park | 510 m from Polo Victory Private Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 215 Off,3.7, (Good),35.0,43%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Jaipur,9-8-2021,11-8-2021
The Amer Valley,"₹ 1,229",Amer | 760 m from Jal Mahal Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 476 Off,3.5, (Good),380.0,24%,"['Butler Services', 'Tours and Treks', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Hotel Raya Inn,"₹ 1,154",Gopalbari | 4.2 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 621 Off,4.2, (Very Good),204.0,6%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Hotel Golden Sands,₹ 768,Near Jaipur Airport | 750 m from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1063 Off,3.5, (Good),29.0,49%,"['Free Parking', 'Conference Room', 'ATM']",Jaipur,9-8-2021,11-8-2021
Collection O 41916 Mansarover,₹ 984,Mansarovar | 5.5 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,4.0, (Very Good),11.0,23%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Blue Beds Hostel,₹ 400,Ashok Nagar | 920 m from Tilak Marg Bus Stop,,3.8, (Good),101.0,39%,"['Cafe', 'Luggage Storage', 'Housekeeping']",Jaipur,9-8-2021,11-8-2021
Hotel Siddharth Palace,"₹ 1,088",Near Jaipur Airport | 620 m from Bus Stop Gold Sukh Circle Root 8,Exclusive Offer - HDFC Credit Card Users. Get INR 740 Off,3.9, (Good),107.0,51%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Shalimar,₹ 856,Near Jaipur Bus Stand | 120 m from Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,4.4, (Very Good),63.0,40%,"['Lounge', 'Tours and Treks', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Hotel Sarang Palace,"₹ 1,316",Shastri Nagar | 760 m from Shastri Nagar Bus Stand,,3.7, (Good),154.0,22%,"['Kids Play Area', 'Free Parking', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Golden Hands - The Ashapurna,"₹ 1,397",Subhash Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 714 Off,3.7, (Good),123.0,14%,"['Yoga', 'Bonfire', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
Hotel Ankur Palace,₹ 514,Near Jaipur Train Station | 590 m from Jaipur Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 231 Off,3.3, (Good),452.0,53%,"['Lounge', 'Conference Room', 'Bar']",Jaipur,9-8-2021,11-8-2021
Gumaan Auberge,₹ 720,Bani Park,Exclusive Offer - HDFC Credit Card Users. Get INR 183 Off,3.7, (Good),664.0,48%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Jaipur,9-8-2021,11-8-2021
Collection O 41004 Shri Gopal Nagar,₹ 984,Gopalpura | 8.5 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.9, (Good),66.0,31%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Jaipur,9-8-2021,11-8-2021
Hotel Las Vegas,"₹ 1,553",Lalkothi | 2.4 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.4, (Very Good),102.0,58%,"['Lounge', 'Free Parking', 'Bakery']",Jaipur,9-8-2021,11-8-2021
Hotel SK Grand,"₹ 1,464",Tonk road | 870 m from Sanganer Bus Depot,Exclusive Offer - HDFC Credit Card Users. Get INR 910 Off,3.2, (Good),24.0,51%,"['Lounge', 'Free Parking', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
The Gold Palace & Resort,"₹ 4,773",Kukas | 22.8 km from city centre29.5 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1738 Off,3.9, (Good),94.0,32%,"['Childcare Services', 'Outdoor Sports', 'Cafe']",Jaipur,9-8-2021,11-8-2021
"Crimson Park - The Heritage, Jal Mahal","₹ 2,462",Karbala | 900 m from Ramgarh Mod Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 954 Off,4.1, (Very Good),81.0,36%,"['Free Parking', 'Conference Room', 'Cafe']",Jaipur,9-8-2021,11-8-2021
The Vijayran Palace by Royal Quest Resorts,"₹ 5,575",Kukas | 28.0 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 2030 Off,3.4, (Good),75.0,11%,"['Indoor Games', 'Outdoor Sports', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Tara Niwas,"₹ 1,200",Bani Park | 4.9 km from Rambagh Golf Club,,3.9, (Good),33.0,45%,"['Yoga', 'Lounge', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
Shahpura Residency,"₹ 2,786",Tonk road | 3.9 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1732 Off,3.9, (Good),103.0,11%,"['Business Centre', 'Conference Room', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Hotel Rang Mahal,₹ 940,Malviya Nagar | 930 m from Dean Gate Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,4.4, (Very Good),241.0,,"['Free Parking', 'Jungle Safari', 'ATM']",Jaipur,9-8-2021,11-8-2021
NANUS HOSTEL,₹ 106,Bani Park,,4.4, (Very Good),107.0,44%,"['Safe', 'Luggage Storage', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
OYO 61709 Hotel Gd Palace,"₹ 1,180",Ganpatpura | 9.2 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,4.1, (Very Good),51.0,6%,"['ATM', 'Free Wi-Fi', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Mahadev Regency,₹ 587,Bani Park | 430 m from Sindhi Camp Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,2.7,,36.0,15%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Jaipur,9-8-2021,11-8-2021
The Leela Palace Jaipur,"₹ 14,000",Kukas | 23.2 km from city centre29.7 km from Jaipur Airport,,3.9, (Good),10.0,51%,"['Free Parking', 'Kids Play Area', 'Childcare Services']",Jaipur,9-8-2021,11-8-2021
hotel my jaipur,"₹ 1,266",Tonk road | 420 m from Tonk Rd Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 615 Off,4.2, (Very Good),432.0,35%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Club Mahindra Jaipur,"₹ 4,674",Brahmpuri | 160 m from Ramgarh Mod Bus Stand,,4.5, (Excellent),2.0,30%,"['Lounge', 'Indoor Games', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
Khandela Haveli,"₹ 1,338",Bani Park | 940 m from Shastri Nagar Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 487 Off,3.9, (Good),83.0,16%,"['Yoga', 'Lounge', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
Collection O 50149 UC Pratap Nagar Jaipur,₹ 984,Pratap Nagar | 8.1 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.8, (Good),497.0,15%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Jaipur,9-8-2021,11-8-2021
Hotel Om Palace-Ajmer Road,"₹ 1,143",Gajsinghpur | 13.3 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 526 Off,4.3, (Very Good),41.0,11%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
V One Pride,"₹ 2,021",Nirman Nagar | 880 m from 200 Feet Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 981 Off,4.2, (Very Good),12.0,51%,"['Free Parking', 'Bonfire', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
OYO 1004 Hotel Fly View,"₹ 1,180",Maruti Nagar | 710 m from Airport Pass Office,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,4.1, (Very Good),56.0,47%,"['Free Parking', 'Bar', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Hotel Neerja Inn,"₹ 1,128",Near Jaipur Airport | 1.1 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,4.0, (Very Good),78.0,45%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Everland Wish Ananta Inn,"₹ 1,722",Malviya Nagar | 620 m from Bus Stop Fortis Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 439 Off,3.4, (Good),394.0,51%,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Hotel Parv,₹ 788,JLN Marg | 740 m from Bus Stop Fortis Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 501 Off,4.2, (Very Good),16.0,44%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Hotel Kalyan,₹ 583,Hathroi | 3.5 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 262 Off,3.8, (Good),47.0,48%,"['Lounge', 'Butler Services', 'Free Parking']",Jaipur,9-8-2021,11-8-2021
R41-Boutique Hotel,"₹ 1,759",Vaishali Nagar | 240 m from Queens Road Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 900 Off,3.1, (Good),17.0,21%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
OYO 62907 Hotel Royal Blue,₹ 984,Amrapali Circle,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.7, (Good),510.0,31%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Alsisar Haveli - A Heritage Hotel,"₹ 4,350",Sindhi Camp | 820 m from Chandpol Bus Stop,,4.3, (Very Good),21.0,48%,"['Lounge', 'Free Parking', 'Bar']",Jaipur,9-8-2021,11-8-2021
Hotel Green Valley,₹ 795,Amer | 17.9 km from city centre24.4 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 675 Off,2.3,,3.0,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Hotel Jaipur,₹ 138,Bani Park | 4.4 km from Rambagh Golf Club,,4.1, (Very Good),63.0,25%,"['Free Parking', 'Vehicle Rentals', 'Cafe']",Jaipur,9-8-2021,11-8-2021
Chitra Katha,₹ 538,Hathroi | 890 m from Polo Victory Private Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 187 Off,4.9, (Excellent),10.0,71%,"['Yoga', 'Free Parking', 'Bonfire']",Jaipur,9-8-2021,11-8-2021
Hotel Neelam Paradise-Vaishali nagar,"₹ 1,449",Kanakpura | 17.0 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 741 Off,3.5, (Good),165.0,31%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Hotel Anuraag Villa,₹ 601,Bani Park,Exclusive Offer - HDFC Credit Card Users. Get INR 338 Off,3.9, (Good),286.0,10%,"['Yoga', 'Lounge', 'Tours and Treks']",Jaipur,9-8-2021,11-8-2021
Hotel Sweet Dreams,₹ 773,Near Johri Bazaar | 730 m from Lnmiit Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,2.5,,131.0,48%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Jazz Club-M I Road,₹ 952,Near Jaipur Train Station | 390 m from Polo Victory Private Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 486 Off,4.4, (Very Good),210.0,33%,"['Lounge', 'Free Parking', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
Jaipur Inn,"₹ 1,128",Bani Park | 840 m from Sindhi Camp Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,3.6, (Good),128.0,26%,"['Lounge', 'Tours and Treks', 'Indoor Games']",Jaipur,9-8-2021,11-8-2021
Hotel Star Palace,₹ 627,Near Jaipur Train Station | 600 m from Jaipur Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 353 Off,3.8, (Good),6.0,50%,"['Butler Services', 'Tours and Treks', 'Kids Play Area']",Jaipur,9-8-2021,11-8-2021
"Lighthouse, Jaipur","₹ 1,483",Vaishali Nagar | 15.3 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 719 Off,3.8, (Good),151.0,44%,"['Lounge', 'Free Parking', 'Business Centre']",Jaipur,9-8-2021,11-8-2021
Hotel Anand Palace,₹ 822,Raja Park | 9.5 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,3.9, (Good),39.0,72%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Kapish Home - Heritage Virtuous Stay,₹ 777,Karolan Ka Barh | 7.7 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 707 Off,4.5, (Excellent),34.0,16%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
The Heritage Village Resort- Vaishali Nagar,"₹ 2,173",Kanakpura | 17.0 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1111 Off,4.5, (Excellent),56.0,66%,"['Kids Play Area', 'Lawn', 'Cafe']",Jaipur,9-8-2021,11-8-2021
Nakshatra -A Boutique Hotel,"₹ 1,606",Civil Lines | 3.5 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 622 Off,4.8, (Excellent),18.0,57%,"['Lounge', 'Free Parking', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
OYO 2072 Hotel Indigo Heritage,"₹ 1,212",Hawa Sadak  | 220 m from Chomu House Circle Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 299 Off,3.2, (Good),90.0,48%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Hotel Krishna by KeyMagics,"₹ 1,316",Tonk Phatak | 7.8 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 335 Off,4.5, (Excellent),23.0,38%,"['Free Parking', 'Conference Room', 'ATM']",Jaipur,9-8-2021,11-8-2021
Sunrise Health Resort,"₹ 7,112",Bilonchi | 37.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 2647 Off,3.5, (Good),21.0,51%,"['Outdoor Sports', 'Lawn', 'Cafe']",Jaipur,9-8-2021,11-8-2021
Hotel Rockland,"₹ 1,435",Adarsh Nagar | 4.3 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,4.0, (Very Good),59.0,12%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Hotel Ethnic Residency,"₹ 1,410",Malviya Nagar | 490 m from Bus Stop Fortis Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,4.0, (Very Good),98.0,11%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Galaxy Inn,₹ 685,Bani Park | 4.5 km from Rambagh Golf Club,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,4.0, (Very Good),46.0,41%,"['Kids Play Area', 'Free Parking', 'Free Wi-Fi']",Jaipur,9-8-2021,11-8-2021
Sajjan Niwas,"₹ 1,215",Bani Park,Exclusive Offer - HDFC Credit Card Users. Get INR 590 Off,3.5, (Good),51.0,6%,"['Lounge', 'Tours and Treks', 'Vehicle Rentals']",Jaipur,9-8-2021,11-8-2021
Aurum Boutique Hotel,₹ 832,Kanakpura | 17.5 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 375 Off,3.2, (Good),36.0,57%,"['Free Parking', 'Business Centre', 'Conference Room']",Jaipur,9-8-2021,11-8-2021
Hotel Gem Plaza,₹ 550,Near Jaipur Train Station | 510 m from Jaipur Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 309 Off,4.1, (Very Good),325.0,32%,"['Tours and Treks', 'Vehicle Rentals', 'Elevator/Lift']",Jaipur,9-8-2021,11-8-2021
Hotel Blue Heaven,"₹ 1,238",Bani Park | 760 m from Sindhi Camp Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1219 Off,4.0, (Very Good),20.0,27%,"['Lounge', 'Free Parking', 'Bar']",Jaipur,9-8-2021,11-8-2021
Bunkstop Jaipur,₹ 247,Lalkothi | 370 m from Jyoti Nagar Bus Stop,,3.0, (Good),6.0,19%,"['Free Wi-Fi', 'Bonfire', 'Housekeeping']",Jaipur,9-8-2021,11-8-2021
Collection O 30047 Signature Inn,₹ 984,Malviya Nagar | 640 m from Sector 15 Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.4, (Good),378.0,31%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
Hotel Black Hole,"₹ 1,304",Tonk road | 71 m from First Cineplex Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 667 Off,4.2, (Very Good),41.0,19%,"['Free Parking', 'Business Centre', 'Bar']",Jaipur,9-8-2021,11-8-2021
OYO Townhouse 051 Lal Kothi,"₹ 1,382",Lalkothi | 7.7 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,2.9,,166.0,51%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
OYO 9424 Hotel Eden,₹ 847,Paldi Meena,Exclusive Offer - HDFC Credit Card Users. Get INR 209 Off,4.4, (Very Good),58.0,48%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Hotel The Zest,₹ 817,Lalkothi | 610 m from Jyoti Nagar Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 284 Off,2.6,,109.0,51%,"['Lounge', 'ATM', 'Lawn']",Jaipur,9-8-2021,11-8-2021
Lohagarh Fort Resort,"₹ 10,340",Kukas | 27.3 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 2640 Off,3.5, (Good),32.0,51%,"['Free Parking', 'Kids Play Area', 'Kitchenette']",Jaipur,9-8-2021,11-8-2021
Hotel Rajasthan Palace,"₹ 3,345",Adarsh Nagar | 8.8 km from Jaipur Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1218 Off,4.3, (Very Good),16.0,10%,"['Free Parking', 'Lawn', 'Air Conditioning']",Jaipur,9-8-2021,11-8-2021
